split,record_id,noise_type,noise_channel,start_offset,seed
train,101,bw,0,73810,15534702212108849420
train,101,ma,0,116177,17425999925580927922
train,101,em,0,378048,11019379050927599496
train,106,bw,0,64740,11628312830095253366
train,106,ma,1,121305,3277721029525271901
train,106,em,1,530064,17340746058210966668
train,109,bw,0,269178,11286115654543093548
train,109,ma,1,12393,11259760830139814115
train,109,em,0,163914,9574372511984554441
train,112,bw,0,32802,17622916741567748365
train,112,ma,1,182954,14782933408131178106
train,112,em,0,233770,10725420874934507914
train,115,bw,1,582977,13209185766496038093
train,115,ma,1,15082,12668038711681708173
train,115,em,1,226081,16185126514523691842
train,116,bw,0,510278,4137063871817818141
train,116,ma,1,488030,16260167887528478148
train,116,em,0,377850,15438445270330491392
train,118,bw,1,568124,10717106425653992975
train,118,ma,1,274292,16942002787262312610
train,118,em,1,571795,7503805940446500175
train,119,bw,1,499587,13762552373842893660
train,119,ma,0,576679,8105684906217046239
train,119,em,1,238538,1004335728189304665
train,122,bw,0,255208,9527857078380784
train,122,ma,1,537793,7967004382477248382
train,122,em,0,18595,3394458503499082340
train,124,bw,1,404689,1060803099531756414
train,124,ma,0,1879,3537489416970840972
train,124,em,0,267027,1870902901242248605
train,201,bw,1,207751,3137098846875739932
train,201,ma,1,414032,11112550451853857063
train,201,em,0,310914,15742325768635748778
train,202,bw,1,484668,17916631273306557833
train,202,ma,1,340192,4181241135541030312
train,202,em,1,448952,8698220033700890315
train,203,bw,0,109054,3542147768350033684
train,203,ma,1,246536,15196075046460602678
train,203,em,0,405336,13199854747608224083
train,208,bw,0,273206,9755500408822073468
train,208,ma,0,174260,13705518936494373860
train,208,em,1,85226,7525801598478874547
train,209,bw,0,140948,3164555500955749552
train,209,ma,0,7766,10174061822147945349
train,209,em,1,160996,15650428354937158744
train,215,bw,1,523753,12675310613924799060
train,215,ma,1,585103,8742766066234984037
train,215,em,0,108139,12327612001182813788
train,220,bw,0,110178,13411534295432462984
train,220,ma,1,15717,6899428765018120040
train,220,em,1,539344,6161943231826732224
train,230,bw,0,67985,10846642999788497447
train,230,ma,0,511755,12061282993182129129
train,230,em,0,242571,12459871547701035211
validation,108,bw,1,343169,8665331924933527074
validation,108,ma,0,247478,2575131657305234688
validation,108,em,1,11919,13621461428331177885
validation,114,bw,1,156777,12029588474647528446
validation,114,ma,1,440410,14495734936688724909
validation,114,em,1,622906,448605514673730599
validation,205,bw,0,92231,2869846040648827578
validation,205,ma,0,470833,5220125353803486318
validation,205,em,0,513277,14570842948769113426
validation,207,bw,0,575419,689619734743455901
validation,207,ma,1,178331,12137907642750766279
validation,207,em,0,149985,16788303437693595243
validation,223,bw,0,82246,13255679461749337643
validation,223,ma,0,137360,12594079915140338953
validation,223,em,1,623127,7560627250001156544
