record_id,noise_type,target_snr_db,achieved_snr_db,noise_channel,start_offset,seed
108,bw,18.0,18.0,1,343169,8665331924933527074
114,bw,18.0,18.0,1,156777,12029588474647528446
205,bw,18.0,18.0,0,92231,2869846040648827578
207,bw,18.0,18.0,0,575419,689619734743455901
223,bw,18.0,18.0,0,82246,13255679461749337643
108,bw,12.0,12.0,1,343169,8665331924933527074
114,bw,12.0,12.0,1,156777,12029588474647528446
205,bw,12.0,12.000000000000002,0,92231,2869846040648827578
207,bw,12.0,12.0,0,575419,689619734743455901
223,bw,12.0,12.000000000000002,0,82246,13255679461749337643
108,bw,6.0,6.0,1,343169,8665331924933527074
114,bw,6.0,6.000000000000001,1,156777,12029588474647528446
205,bw,6.0,6.000000000000002,0,92231,2869846040648827578
207,bw,6.0,6.000000000000001,0,575419,689619734743455901
223,bw,6.0,6.000000000000002,0,82246,13255679461749337643
108,bw,0.0,0.0,1,343169,8665331924933527074
114,bw,0.0,0.0,1,156777,12029588474647528446
205,bw,0.0,9.64327466553287e-16,0,92231,2869846040648827578
207,bw,0.0,9.64327466553287e-16,0,575419,689619734743455901
223,bw,0.0,1.928654933106574e-15,0,82246,13255679461749337643
108,bw,-6.0,-6.0,1,343169,8665331924933527074
114,bw,-6.0,-5.999999999999998,1,156777,12029588474647528446
205,bw,-6.0,-6.0,0,92231,2869846040648827578
207,bw,-6.0,-5.999999999999998,0,575419,689619734743455901
223,bw,-6.0,-5.999999999999998,0,82246,13255679461749337643
108,ma,18.0,18.0,0,247478,2575131657305234688
114,ma,18.0,18.0,1,440410,14495734936688724909
205,ma,18.0,18.0,0,470833,5220125353803486318
207,ma,18.0,18.0,1,178331,12137907642750766279
223,ma,18.0,18.0,0,137360,12594079915140338953
108,ma,12.0,12.0,0,247478,2575131657305234688
114,ma,12.0,12.0,1,440410,14495734936688724909
205,ma,12.0,12.0,0,470833,5220125353803486318
207,ma,12.0,12.0,1,178331,12137907642750766279
223,ma,12.0,11.999999999999996,0,137360,12594079915140338953
108,ma,6.0,6.000000000000001,0,247478,2575131657305234688
114,ma,6.0,6.000000000000001,1,440410,14495734936688724909
205,ma,6.0,6.0,0,470833,5220125353803486318
207,ma,6.0,6.000000000000001,1,178331,12137907642750766279
223,ma,6.0,6.0,0,137360,12594079915140338953
108,ma,0.0,-4.821637332766436e-16,0,247478,2575131657305234688
114,ma,0.0,0.0,1,440410,14495734936688724909
205,ma,0.0,-9.643274665532871e-16,0,470833,5220125353803486318
207,ma,0.0,0.0,1,178331,12137907642750766279
223,ma,0.0,-9.643274665532871e-16,0,137360,12594079915140338953
108,ma,-6.0,-6.0,0,247478,2575131657305234688
114,ma,-6.0,-5.999999999999998,1,440410,14495734936688724909
205,ma,-6.0,-5.999999999999998,0,470833,5220125353803486318
207,ma,-6.0,-5.999999999999998,1,178331,12137907642750766279
223,ma,-6.0,-6.000000000000002,0,137360,12594079915140338953
108,em,18.0,18.0,1,11919,13621461428331177885
114,em,18.0,18.0,1,622906,448605514673730599
205,em,18.0,18.0,0,513277,14570842948769113426
207,em,18.0,18.0,0,149985,16788303437693595243
223,em,18.0,18.0,1,623127,7560627250001156544
108,em,12.0,12.0,1,11919,13621461428331177885
114,em,12.0,12.0,1,622906,448605514673730599
205,em,12.0,12.0,0,513277,14570842948769113426
207,em,12.0,12.0,0,149985,16788303437693595243
223,em,12.0,12.0,1,623127,7560627250001156544
108,em,6.0,6.000000000000001,1,11919,13621461428331177885
114,em,6.0,6.0,1,622906,448605514673730599
205,em,6.0,6.000000000000002,0,513277,14570842948769113426
207,em,6.0,6.000000000000001,0,149985,16788303437693595243
223,em,6.0,6.000000000000001,1,623127,7560627250001156544
108,em,0.0,-4.821637332766436e-16,1,11919,13621461428331177885
114,em,0.0,-1.9286549331065747e-15,1,622906,448605514673730599
205,em,0.0,-9.643274665532871e-16,0,513277,14570842948769113426
207,em,0.0,0.0,0,149985,16788303437693595243
223,em,0.0,0.0,1,623127,7560627250001156544
108,em,-6.0,-6.0,1,11919,13621461428331177885
114,em,-6.0,-6.000000000000001,1,622906,448605514673730599
205,em,-6.0,-6.0,0,513277,14570842948769113426
207,em,-6.0,-5.999999999999998,0,149985,16788303437693595243
223,em,-6.0,-6.0,1,623127,7560627250001156544
