record_id,sampling_rate_hz,number_of_channels,signal_names,signal_length,duration_minutes,number_of_annotations,N,S,V,F,Q,mapped_beats,unmapped_annotations,paced_excluded
100,360,2,MLII|V5,650000,30.093,2274,2239,33,1,0,0,2273,1,False
101,360,2,MLII|V1,650000,30.093,1874,1860,3,0,0,2,1865,9,False
102,360,2,V5|V2,650000,30.093,2192,99,0,4,0,2084,2187,5,True
103,360,2,MLII|V2,650000,30.093,2091,2082,2,0,0,0,2084,7,False
104,360,2,V5|V2,650000,30.093,2311,163,0,2,0,2064,2229,82,True
105,360,2,MLII|V1,650000,30.093,2691,2526,0,41,0,5,2572,119,False
106,360,2,MLII|V1,650000,30.093,2098,1507,0,520,0,0,2027,71,False
107,360,2,MLII|V1,650000,30.093,2140,0,0,59,0,2078,2137,3,True
108,360,2,MLII|V1,650000,30.093,1824,1740,4,17,2,0,1763,61,False
109,360,2,MLII|V1,650000,30.093,2535,2492,0,38,2,0,2532,3,False
111,360,2,MLII|V1,650000,30.093,2133,2123,0,1,0,0,2124,9,False
112,360,2,MLII|V1,650000,30.093,2550,2537,2,0,0,0,2539,11,False
113,360,2,MLII|V1,650000,30.093,1796,1789,6,0,0,0,1795,1,False
114,360,2,V5|MLII,650000,30.093,1890,1820,12,43,4,0,1879,11,False
115,360,2,MLII|V1,650000,30.093,1962,1953,0,0,0,0,1953,9,False
116,360,2,MLII|V1,650000,30.093,2421,2302,1,109,0,0,2412,9,False
117,360,2,MLII|V2,650000,30.093,1539,1534,1,0,0,0,1535,4,False
118,360,2,MLII|V1,650000,30.093,2301,2166,96,16,0,0,2278,23,False
119,360,2,MLII|V1,650000,30.093,2094,1543,0,444,0,0,1987,107,False
121,360,2,MLII|V1,650000,30.093,1876,1861,1,1,0,0,1863,13,False
122,360,2,MLII|V1,650000,30.093,2479,2476,0,0,0,0,2476,3,False
123,360,2,MLII|V5,650000,30.093,1519,1515,0,3,0,0,1518,1,False
124,360,2,MLII|V4,650000,30.093,1634,1536,31,47,5,0,1619,15,False
200,360,2,MLII|V1,650000,30.093,2792,1743,30,826,2,0,2601,191,False
201,360,2,MLII|V1,650000,30.093,2039,1635,128,198,2,0,1963,76,False
202,360,2,MLII|V1,650000,30.093,2146,2061,55,19,1,0,2136,10,False
203,360,2,MLII|V1,650000,30.093,3108,2529,2,444,1,4,2980,128,False
205,360,2,MLII|V1,650000,30.093,2672,2571,3,71,11,0,2656,16,False
207,360,2,MLII|V1,650000,30.093,2385,1543,107,210,0,0,1860,525,False
208,360,2,MLII|V1,650000,30.093,3040,1586,2,992,373,2,2955,85,False
209,360,2,MLII|V1,650000,30.093,3052,2621,383,1,0,0,3005,47,False
210,360,2,MLII|V1,650000,30.093,2685,2423,22,195,10,0,2650,35,False
212,360,2,MLII|V1,650000,30.093,2763,2748,0,0,0,0,2748,15,False
213,360,2,MLII|V1,650000,30.093,3294,2641,28,220,362,0,3251,43,False
214,360,2,MLII|V1,650000,30.093,2297,2003,0,256,1,2,2262,35,False
215,360,2,MLII|V1,650000,30.093,3400,3195,3,164,1,0,3363,37,False
217,360,2,MLII|V1,650000,30.093,2280,244,0,162,0,1802,2208,72,True
219,360,2,MLII|V1,650000,30.093,2312,2082,7,64,1,0,2154,158,False
220,360,2,MLII|V1,650000,30.093,2069,1954,94,0,0,0,2048,21,False
221,360,2,MLII|V1,650000,30.093,2462,2031,0,396,0,0,2427,35,False
222,360,2,MLII|V1,650000,30.093,2634,2274,209,0,0,0,2483,151,False
223,360,2,MLII|V1,650000,30.093,2643,2045,73,473,14,0,2605,38,False
228,360,2,MLII|V1,650000,30.093,2141,1688,3,362,0,0,2053,88,False
230,360,2,MLII|V1,650000,30.093,2466,2255,0,1,0,0,2256,210,False
231,360,2,MLII|V1,650000,30.093,2011,1568,1,2,0,0,1571,440,False
232,360,2,MLII|V1,650000,30.093,1816,398,1382,0,0,0,1780,36,False
233,360,2,MLII|V1,650000,30.093,3152,2230,7,831,11,0,3079,73,False
234,360,2,MLII|V1,650000,30.093,2764,2700,50,3,0,0,2753,11,False
