condition,noise_type,target_snr_db,macro_f1,macro_f1_delta,balanced_accuracy,balanced_accuracy_delta,N_f1,N_f1_delta,S_f1,S_f1_delta,V_f1,V_f1_delta,F_f1,F_f1_delta
clean,clean,,0.40300086957287573,0.0,0.4375287152802742,0.0,0.9479270663654038,0.0,0.05263157894736842,0.0,0.5977462028417443,0.0,0.0136986301369863,0.0
bw_18db,bw,18.0,0.4024323150536346,-0.000568554519241149,0.4358415039115897,-0.0016872113686844936,0.9495383969785984,0.0016113306131946281,0.0457516339869281,-0.0068799449604403165,0.5988142292490118,0.0010680264072675527,0.015625,0.0019263698630136994
bw_12db,bw,12.0,0.3986967575860819,-0.004304111986793813,0.4266088827835117,-0.010919832496762483,0.9508213874646856,0.0028943210992817825,0.056782334384858045,0.004150755437489627,0.587183308494784,-0.010562894346960339,0.0,-0.0136986301369863
bw_6db,bw,6.0,0.38957963682309515,-0.013421232749780576,0.4136593355152576,-0.02386937976501663,0.9503938240050076,0.0024667576396038005,0.04481792717086835,-0.00781365177650007,0.5631067961165048,-0.03463940672523946,0.0,-0.0136986301369863
bw_0db,bw,0.0,0.36371156789122844,-0.03928930168164729,0.3686343996752942,-0.06889431560498,0.9445278914383384,-0.0033991749270654292,0.020618556701030927,-0.032013022246337494,0.4896998234255444,-0.10804637941619988,0.0,-0.0136986301369863
bw_-6db,bw,-6.0,0.336140736851977,-0.06686013272089875,0.3228368090566936,-0.11469190622358061,0.936676408757627,-0.01125065760777677,0.031029619181946404,-0.021601959765422014,0.37685691946833466,-0.22088928337340963,0.0,-0.0136986301369863
ma_18db,ma,18.0,0.4060983106737562,0.003097441100880449,0.4222980782553074,-0.015230637024966798,0.9513783938714889,0.0034513275060851223,0.05660377358490566,0.0039721946375372436,0.60078607523863,0.0030398723968857455,0.015625,0.0019263698630136994
ma_12db,ma,12.0,0.3972613460540634,-0.005739523518812351,0.4027390319208667,-0.03478968335940752,0.9473299958281185,-0.0005970705372853047,0.06770098730606489,0.015069408358696468,0.5536062378167641,-0.04413996502498019,0.02040816326530612,0.00670953312831982
ma_6db,ma,6.0,0.36154428388309107,-0.041456585689784664,0.3556621306205907,-0.0818665846596835,0.9354804977517516,-0.012446568613652231,0.054003724394785846,0.0013721454474174277,0.4566929133858268,-0.1410532894559175,0.0,-0.0136986301369863
ma_0db,ma,0.0,0.31473553466633186,-0.08826533490654387,0.3228927404387524,-0.11463597484152183,0.9236637232875281,-0.0242633430778757,0.06337509211495947,0.010743513167591048,0.2719033232628399,-0.3258428795789044,0.0,-0.0136986301369863
ma_-6db,ma,-6.0,0.2773837326189005,-0.12561713695397525,0.3085607688255847,-0.1289679464546895,0.9104665825977302,-0.037460483767673636,0.06887755102040816,0.01624597207303974,0.13019079685746351,-0.4675554059842808,0.0,-0.0136986301369863
em_18db,em,18.0,0.3873193200878192,-0.015681549485056512,0.4311297451013049,-0.006398970178969288,0.9349282296650717,-0.012998836700332084,0.05194805194805195,-0.0006835269993164667,0.5476951163852122,-0.05005108645653211,0.014705882352941176,0.0010072522159548757
em_12db,em,12.0,0.36178856430271544,-0.04121230527016029,0.4086359509675884,-0.02889276431268578,0.9117885958737207,-0.03613847049168306,0.03379416282642089,-0.018837416120947525,0.4844774814167031,-0.11326872142504119,0.017094017094017096,0.003395386957030795
em_6db,em,6.0,0.32987981812539063,-0.0731210514474851,0.37471846811110276,-0.06281024716917144,0.8794697560432215,-0.06845731032218227,0.04654771140418929,-0.006083867543179126,0.3935018050541516,-0.20424439778759268,0.0,-0.0136986301369863
em_0db,em,0.0,0.29255249106980763,-0.1104483785030681,0.34806075596105557,-0.08946795931921864,0.8263256248540061,-0.12160144151139773,0.051623646960865945,-0.0010079319865024736,0.29226069246435843,-0.30548551037738586,0.0,-0.0136986301369863
em_-6db,em,-6.0,0.25095978780656714,-0.1520410817663086,0.31926974302851063,-0.11825897225176357,0.7550792864222002,-0.19284777994320357,0.0481663929939792,-0.004465185953389218,0.20059347181008902,-0.39715273103165527,0.0,-0.0136986301369863
