condition,noise_type,target_snr_db,class_name,precision,recall,f1,support,f1_delta_from_clean
clean,clean,,N,0.9684346145587288,0.9282700421940928,0.9479270663654038,9717,0.0
clean,clean,,S,0.0761904761904762,0.04020100502512563,0.05263157894736842,199,0.0
clean,clean,,V,0.4971475142624287,0.7493857493857494,0.5977462028417443,814,0.0
clean,clean,,F,0.008695652173913044,0.03225806451612903,0.0136986301369863,31,0.0
bw_18db,bw,18.0,N,0.9683320851610142,0.9314603272615004,0.9495383969785984,9717,0.0016113306131946281
bw_18db,bw,18.0,S,0.06542056074766354,0.035175879396984924,0.0457516339869281,199,-0.0068799449604403165
bw_18db,bw,18.0,V,0.5008264462809917,0.7444717444717445,0.5988142292490118,814,0.0010680264072675527
bw_18db,bw,18.0,F,0.010309278350515464,0.03225806451612903,0.015625,31,0.0019263698630136994
bw_12db,bw,12.0,N,0.9670107481110993,0.9351651744365544,0.9508213874646856,9717,0.0028943210992817825
bw_12db,bw,12.0,S,0.07627118644067797,0.04522613065326633,0.056782334384858045,199,0.004150755437489627
bw_12db,bw,12.0,V,0.49291075896580483,0.726044226044226,0.587183308494784,814,-0.010562894346960339
bw_12db,bw,12.0,F,0.0,0.0,0.0,31,-0.0136986301369863
bw_6db,bw,6.0,N,0.963613285381849,0.9375321601317279,0.9503938240050076,9717,0.0024667576396038005
bw_6db,bw,6.0,S,0.05063291139240506,0.04020100502512563,0.04481792717086835,199,-0.00781365177650007
bw_6db,bw,6.0,V,0.4820647419072616,0.6769041769041769,0.5631067961165048,814,-0.03463940672523946
bw_6db,bw,6.0,F,0.0,0.0,0.0,31,-0.0136986301369863
bw_0db,bw,0.0,N,0.9507820646506778,0.9383554595039622,0.9445278914383384,9717,-0.0033991749270654292
bw_0db,bw,0.0,S,0.017482517482517484,0.02512562814070352,0.020618556701030927,199,-0.032013022246337494
bw_0db,bw,0.0,V,0.47005649717514125,0.5110565110565111,0.4896998234255444,814,-0.10804637941619988
bw_0db,bw,0.0,F,0.0,0.0,0.0,31,-0.0136986301369863
bw_-6db,bw,-6.0,N,0.9333742080523196,0.9400020582484306,0.936676408757627,9717,-0.01125065760777677
bw_-6db,bw,-6.0,S,0.021568627450980392,0.05527638190954774,0.031029619181946404,199,-0.021601959765422014
bw_-6db,bw,-6.0,V,0.5182795698924731,0.29606879606879605,0.37685691946833466,814,-0.22088928337340963
bw_-6db,bw,-6.0,F,0.0,0.0,0.0,31,-0.0136986301369863
ma_18db,ma,18.0,N,0.9636824324324325,0.9393845837192549,0.9513783938714889,9717,0.0034513275060851223
ma_18db,ma,18.0,S,0.05333333333333334,0.06030150753768844,0.05660377358490566,199,0.0039721946375372436
ma_18db,ma,18.0,V,0.5532574974146846,0.6572481572481572,0.60078607523863,814,0.0030398723968857455
ma_18db,ma,18.0,F,0.010309278350515464,0.03225806451612903,0.015625,31,0.0019263698630136994
ma_12db,ma,12.0,N,0.9602494978327519,0.9347535247504374,0.9473299958281185,9717,-0.0005970705372853047
ma_12db,ma,12.0,S,0.047058823529411764,0.12060301507537688,0.06770098730606489,199,0.015069408358696468
ma_12db,ma,12.0,V,0.5875862068965517,0.5233415233415234,0.5536062378167641,814,-0.04413996502498019
ma_12db,ma,12.0,F,0.014925373134328358,0.03225806451612903,0.02040816326530612,31,0.00670953312831982
ma_6db,ma,6.0,N,0.9507917950898076,0.9206545230009262,0.9354804977517516,9717,-0.012446568613652231
ma_6db,ma,6.0,S,0.03314285714285714,0.1457286432160804,0.054003724394785846,199,0.0013721454474174277
ma_6db,ma,6.0,V,0.6359649122807017,0.35626535626535627,0.4566929133858268,814,-0.1410532894559175
ma_6db,ma,6.0,F,0.0,0.0,0.0,31,-0.0136986301369863
ma_0db,ma,0.0,N,0.9381235406495436,0.9096428938972934,0.9236637232875281,9717,-0.0242633430778757
ma_0db,ma,0.0,S,0.037132987910189985,0.21608040201005024,0.06337509211495947,199,0.010743513167591048
ma_0db,ma,0.0,V,0.7541899441340782,0.16584766584766586,0.2719033232628399,814,-0.3258428795789044
ma_0db,ma,0.0,F,0.0,0.0,0.0,31,-0.0136986301369863
ma_-6db,ma,-6.0,N,0.9301127214170692,0.8916332201296696,0.9104665825977302,9717,-0.037460483767673636
ma_-6db,ma,-6.0,S,0.039444850255661065,0.271356783919598,0.06887755102040816,199,0.01624597207303974
ma_-6db,ma,-6.0,V,0.7532467532467533,0.07125307125307126,0.13019079685746351,814,-0.4675554059842808
ma_-6db,ma,-6.0,F,0.0,0.0,0.0,31,-0.0136986301369863
em_18db,em,18.0,N,0.9670075882547015,0.9049089225069465,0.9349282296650717,9717,-0.012998836700332084
em_18db,em,18.0,S,0.053763440860215055,0.05025125628140704,0.05194805194805195,199,-0.0006835269993164667
em_18db,em,18.0,V,0.4357298474945534,0.7371007371007371,0.5476951163852122,814,-0.05005108645653211
em_18db,em,18.0,F,0.009523809523809525,0.03225806451612903,0.014705882352941176,31,0.0010072522159548757
em_12db,em,12.0,N,0.9621714285714286,0.8664196768549964,0.9117885958737207,9717,-0.03613847049168306
em_12db,em,12.0,S,0.024336283185840708,0.05527638190954774,0.03379416282642089,199,-0.018837416120947525
em_12db,em,12.0,V,0.3761031907671419,0.6805896805896806,0.4844774814167031,814,-0.11326872142504119
em_12db,em,12.0,F,0.011627906976744186,0.03225806451612903,0.017094017094017096,31,0.003395386957030795
em_6db,em,6.0,N,0.9584800291368216,0.8124935679736545,0.8794697560432215,9717,-0.06845731032218227
em_6db,em,6.0,S,0.027522935779816515,0.1507537688442211,0.04654771140418929,199,-0.006083867543179126
em_6db,em,6.0,V,0.31098430813124106,0.5356265356265356,0.3935018050541516,814,-0.20424439778759268
em_6db,em,6.0,F,0.0,0.0,0.0,31,-0.0136986301369863
em_0db,em,0.0,N,0.955177534764412,0.7281053823196459,0.8263256248540061,9717,-0.12160144151139773
em_0db,em,0.0,S,0.02814344076259646,0.31155778894472363,0.051623646960865945,199,-0.0010079319865024736
em_0db,em,0.0,V,0.24956521739130436,0.3525798525798526,0.29226069246435843,814,-0.30548551037738586
em_0db,em,0.0,F,0.0,0.0,0.0,31,-0.0136986301369863
em_-6db,em,-6.0,N,0.9483429282713552,0.627251209220953,0.7550792864222002,9717,-0.19284777994320357
em_-6db,em,-6.0,S,0.025470332850940667,0.44221105527638194,0.0481663929939792,199,-0.004465185953389218
em_-6db,em,-6.0,V,0.19402985074626866,0.2076167076167076,0.20059347181008902,814,-0.39715273103165527
em_-6db,em,-6.0,F,0.0,0.0,0.0,31,-0.0136986301369863
