method,class_name,precision,recall,f1,support,f1_delta_from_clean
none,N,0.9684346145587288,0.9282700421940928,0.9479270663654038,9717,0.0
none,S,0.0761904761904762,0.04020100502512563,0.05263157894736842,199,0.0
none,V,0.4971475142624287,0.7493857493857494,0.5977462028417443,814,0.0
none,F,0.008695652173913044,0.03225806451612903,0.0136986301369863,31,0.0
bandpass,N,0.9927510608203678,0.5778532468868992,0.7305015286541339,9717,-0.21742553771126993
bandpass,S,0.023668639053254437,0.020100502512562814,0.021739130434782608,199,-0.03089244851258581
bandpass,V,0.21957236842105263,0.984029484029484,0.35903182429403857,814,-0.23871437854770572
bandpass,F,0.007763975155279503,0.3225806451612903,0.015163002274450341,31,0.0014643721374640404
wavelet,N,0.9920203119332608,0.5629309457651539,0.7182719453745651,9717,-0.22965512099083873
wavelet,S,0.0,0.0,0.0,199,-0.05263157894736842
wavelet,V,0.21668472372697725,0.9828009828009828,0.3550821127385708,814,-0.24266409010317347
wavelet,F,0.005372733378106112,0.25806451612903225,0.010526315789473684,31,-0.0031723143475126166
