noise_type,target_snr_db,method,class_name,precision,recall,f1,support,f1_recovery_vs_none
bw,18.0,none,N,0.9683320851610142,0.9314603272615004,0.9495383969785984,9717,0.0
bw,18.0,none,S,0.06542056074766354,0.035175879396984924,0.0457516339869281,199,0.0
bw,18.0,none,V,0.5008264462809917,0.7444717444717445,0.5988142292490118,814,0.0
bw,18.0,none,F,0.010309278350515464,0.03225806451612903,0.015625,31,0.0
bw,18.0,bandpass,N,0.9923961096374889,0.5775445096223114,0.7301587301587301,9717,-0.2193796668198683
bw,18.0,bandpass,S,0.023391812865497075,0.020100502512562814,0.021621621621621623,199,-0.02413001236530648
bw,18.0,bandpass,V,0.21972602739726027,0.9852579852579852,0.3593189964157706,814,-0.23949523283324126
bw,18.0,bandpass,F,0.007782101167315175,0.3225806451612903,0.015197568389057751,31,-0.00042743161094224887
bw,18.0,wavelet,N,0.9923594688011643,0.5613872594422147,0.7171026685947154,9717,-0.23243572838388304
bw,18.0,wavelet,S,0.0,0.0,0.0,199,-0.0457516339869281
bw,18.0,wavelet,V,0.2151694459386767,0.9828009828009828,0.353045013239188,814,-0.24576921600982382
bw,18.0,wavelet,F,0.006085192697768763,0.2903225806451613,0.011920529801324504,31,-0.003704470198675496
bw,12.0,none,N,0.9670107481110993,0.9351651744365544,0.9508213874646856,9717,0.0
bw,12.0,none,S,0.07627118644067797,0.04522613065326633,0.056782334384858045,199,0.0
bw,12.0,none,V,0.49291075896580483,0.726044226044226,0.587183308494784,814,0.0
bw,12.0,none,F,0.0,0.0,0.0,31,0.0
bw,12.0,bandpass,N,0.9920466595970308,0.5776474220438407,0.7301463414634146,9717,-0.22067504600127097
bw,12.0,bandpass,S,0.023391812865497075,0.020100502512562814,0.021621621621621623,199,-0.03516071276323642
bw,12.0,bandpass,V,0.21987373044194344,0.984029484029484,0.3594345972627328,814,-0.22774871123205115
bw,12.0,bandpass,F,0.007757951900698216,0.3225806451612903,0.015151515151515152,31,0.015151515151515152
bw,12.0,wavelet,N,0.9921803964357155,0.561490171863744,0.7171398527865405,9717,-0.23368153467814512
bw,12.0,wavelet,S,0.0,0.0,0.0,199,-0.056782334384858045
bw,12.0,wavelet,V,0.21333333333333335,0.9828009828009828,0.35056967572305,814,-0.23661363277173397
bw,12.0,wavelet,F,0.006245662734212352,0.2903225806451613,0.012228260869565218,31,0.012228260869565218
bw,6.0,none,N,0.963613285381849,0.9375321601317279,0.9503938240050076,9717,0.0
bw,6.0,none,S,0.05063291139240506,0.04020100502512563,0.04481792717086835,199,0.0
bw,6.0,none,V,0.4820647419072616,0.6769041769041769,0.5631067961165048,814,0.0
bw,6.0,none,F,0.0,0.0,0.0,31,0.0
bw,6.0,bandpass,N,0.9918598478145461,0.5768241226716064,0.7294377928162415,9717,-0.22095603118876606
bw,6.0,bandpass,S,0.0273224043715847,0.02512562814070352,0.02617801047120419,199,-0.01863991669966416
bw,6.0,bandpass,V,0.21905805038335158,0.9828009828009828,0.3582624272279445,814,-0.20484436888856034
bw,6.0,bandpass,F,0.00784313725490196,0.3225806451612903,0.015313935681470138,31,0.015313935681470138
bw,6.0,wavelet,N,0.9913341758440152,0.5650921066172687,0.7198479286837965,9717,-0.23054589532121106
bw,6.0,wavelet,S,0.0,0.0,0.0,199,-0.04481792717086835
bw,6.0,wavelet,V,0.20883429168844747,0.9815724815724816,0.3443965517241379,814,-0.21871024439236691
bw,6.0,wavelet,F,0.006065200909780136,0.25806451612903225,0.011851851851851851,31,0.011851851851851851
bw,0.0,none,N,0.9507820646506778,0.9383554595039622,0.9445278914383384,9717,0.0
bw,0.0,none,S,0.017482517482517484,0.02512562814070352,0.020618556701030927,199,0.0
