noise_type,target_snr_db,method,macro_f1,macro_f1_recovery_vs_none,balanced_accuracy
bw,18.0,none,0.4024323150536346,0.0,0.4358415039115897
bw,18.0,bandpass,0.28157422914629504,-0.12085808590733954,0.4763709106385374
bw,18.0,wavelet,0.270517052908807,-0.13191526214482757,0.4586277057220897
bw,12.0,none,0.3986967575860819,0.0,0.4266088827835117
bw,12.0,bandpass,0.28158851887482106,-0.11710823871126086,0.47608951343679445
bw,12.0,wavelet,0.26998444734478894,-0.12871231024129298,0.458653433827472
bw,6.0,none,0.38957963682309515,0.0,0.4136593355152576
bw,6.0,bandpass,0.2822980415492151,-0.10728159527388004,0.4768328446936458
bw,6.0,wavelet,0.2690240830649466,-0.12055555375814858,0.45118227607969563
bw,0.0,none,0.36371156789122844,0.0,0.3686343996752942
bw,0.0,bandpass,0.2850104037120158,-0.07870116417921263,0.4789116937468308
bw,0.0,wavelet,0.27388044970169173,-0.08983111818953671,0.44782732358269517
bw,-6.0,none,0.336140736851977,0.0,0.3228368090566936
bw,-6.0,bandpass,0.2832206862148647,-0.052920050637112304,0.47397533314766255
bw,-6.0,wavelet,0.2708426507261291,-0.06529808612584787,0.4251031459701204
ma,18.0,none,0.4060983106737562,0.0,0.4222980782553074
ma,18.0,bandpass,0.2952979559795651,-0.11080035469419108,0.4865096299132035
ma,18.0,wavelet,0.2868811845729454,-0.11921712610081076,0.4601397608990461
ma,12.0,none,0.3972613460540634,0.0,0.4027390319208667
ma,12.0,bandpass,0.30366154159098624,-0.09359980446307714,0.4918522044282458
ma,12.0,wavelet,0.30633704332099354,-0.09092430273306984,0.4579887366898729
ma,6.0,none,0.36154428388309107,0.0,0.3556621306205907
ma,6.0,bandpass,0.3050214539213697,-0.056522829961721366,0.4778127321824167
ma,6.0,wavelet,0.312078587618459,-0.04946569626463204,0.4217789575705474
ma,0.0,none,0.31473553466633186,0.0,0.3228927404387524
ma,0.0,bandpass,0.2992629975586753,-0.015472537107656559,0.4256634632632918
ma,0.0,wavelet,0.3176841327618112,0.0029485980954793156,0.3964007710031949
ma,-6.0,none,0.2773837326189005,0.0,0.3085607688255847
ma,-6.0,bandpass,0.29621630842899754,0.018832575810097063,0.40201924595420396
ma,-6.0,wavelet,0.31568595607091715,0.03830222345201667,0.3610391391301076
em,18.0,none,0.3873193200878192,0.0,0.4311297451013049
em,18.0,bandpass,0.2752811059817137,-0.11203821410610554,0.4722057413658376
em,18.0,wavelet,0.26830764650835004,-0.11901167357946918,0.4495822976736042
em,12.0,none,0.36178856430271544,0.0,0.4086359509675884
em,12.0,bandpass,0.2711969295267447,-0.09059163477597076,0.4720551220554336
em,12.0,wavelet,0.2626235024389027,-0.09916506186381274,0.44449135672282997
em,6.0,none,0.32987981812539063,0.0,0.37471846811110276
em,6.0,bandpass,0.25694184531644326,-0.07293797280894737,0.4497399176982733
em,6.0,wavelet,0.2558605629679495,-0.07401925515744112,0.4234729611056452
em,0.0,none,0.29255249106980763,0.0,0.34806075596105557
em,0.0,bandpass,0.23380268765430284,-0.05874980341550479,0.41183920601138724
em,0.0,wavelet,0.24288011751622962,-0.04967237355357801,0.3929975763680684
em,-6.0,none,0.25095978780656714,0.0,0.31926974302851063
em,-6.0,bandpass,0.1699886604813143,-0.08097112732525283,0.3422848863486292
em,-6.0,wavelet,0.20746374370877374,-0.043496044097793396,0.36318958139937096
