configuration,seed,condition,noise_type,target_snr_db,exposure,class_name,precision,recall,f1,support
clean_rr,42,clean,clean,,clean,N,0.9684346145587288,0.9282700421940928,0.9479270663654038,9717
clean_rr,42,clean,clean,,clean,S,0.0761904761904762,0.04020100502512563,0.05263157894736842,199
clean_rr,42,clean,clean,,clean,V,0.4971475142624287,0.7493857493857494,0.5977462028417443,814
clean_rr,42,clean,clean,,clean,F,0.008695652173913044,0.03225806451612903,0.0136986301369863,31
clean_rr,123,clean,clean,,clean,N,0.9478062790927998,0.984871874035196,0.9659836479257091,9717
clean_rr,123,clean,clean,,clean,S,0.0546875,0.035175879396984924,0.04281345565749235,199
clean_rr,123,clean,clean,,clean,V,0.6811320754716981,0.44348894348894347,0.5372023809523809,814
clean_rr,123,clean,clean,,clean,F,0.0,0.0,0.0,31
clean_rr,2026,clean,clean,,clean,N,0.9821214302855772,0.8423381702171452,0.9068749653758794,9717
clean_rr,2026,clean,clean,,clean,S,0.06666666666666667,0.005025125628140704,0.009345794392523364,199
clean_rr,2026,clean,clean,,clean,V,0.32142857142857145,0.9398034398034398,0.47902316844082654,814
clean_rr,2026,clean,clean,,clean,F,0.0625,0.06451612903225806,0.06349206349206349,31
noise_augmented_rr,42,clean,clean,,clean,N,0.9650921658986175,0.8620973551507667,0.9106919606457574,9717
noise_augmented_rr,42,clean,clean,,clean,S,0.0,0.0,0.0,199
noise_augmented_rr,42,clean,clean,,clean,V,0.30966767371601206,0.7555282555282555,0.4392857142857143,814
noise_augmented_rr,42,clean,clean,,clean,F,0.021505376344086023,0.06451612903225806,0.03225806451612903,31
noise_augmented_rr,123,clean,clean,,clean,N,0.970265106281347,0.8361634249253885,0.8982366922779282,9717
noise_augmented_rr,123,clean,clean,,clean,S,0.043478260869565216,0.005025125628140704,0.009009009009009009,199
noise_augmented_rr,123,clean,clean,,clean,V,0.2833333333333333,0.8144963144963145,0.4204185161699429,814
noise_augmented_rr,123,clean,clean,,clean,F,0.125,0.0967741935483871,0.10909090909090909,31
noise_augmented_rr,2026,clean,clean,,clean,N,0.9582062233068944,0.9697437480703921,0.9639404634034064,9717
noise_augmented_rr,2026,clean,clean,,clean,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,clean,clean,,clean,V,0.5609492988133765,0.6388206388206388,0.5973578403216542,814
noise_augmented_rr,2026,clean,clean,,clean,F,0.0,0.0,0.0,31
clean_rr,42,bw_18db,bw,18.0,seen_snr,N,0.9683320851610142,0.9314603272615004,0.9495383969785984,9717
clean_rr,42,bw_18db,bw,18.0,seen_snr,S,0.06542056074766354,0.035175879396984924,0.0457516339869281,199
clean_rr,42,bw_18db,bw,18.0,seen_snr,V,0.5008264462809917,0.7444717444717445,0.5988142292490118,814
clean_rr,42,bw_18db,bw,18.0,seen_snr,F,0.010309278350515464,0.03225806451612903,0.015625,31
clean_rr,123,bw_18db,bw,18.0,seen_snr,N,0.9478898355458688,0.9846660491921375,0.9659280197869871,9717
clean_rr,123,bw_18db,bw,18.0,seen_snr,S,0.05303030303030303,0.035175879396984924,0.04229607250755287,199
clean_rr,123,bw_18db,bw,18.0,seen_snr,V,0.6893939393939394,0.44717444717444715,0.5424739195230999,814
clean_rr,123,bw_18db,bw,18.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,2026,bw_18db,bw,18.0,seen_snr,N,0.9821300071959702,0.8427498199032624,0.9071171420659098,9717
clean_rr,2026,bw_18db,bw,18.0,seen_snr,S,0.07142857142857142,0.005025125628140704,0.009389671361502348,199
clean_rr,2026,bw_18db,bw,18.0,seen_snr,V,0.32196969696969696,0.9398034398034398,0.47962382445141066,814
clean_rr,2026,bw_18db,bw,18.0,seen_snr,F,0.06060606060606061,0.06451612903225806,0.0625,31
noise_augmented_rr,42,bw_18db,bw,18.0,seen_snr,N,0.9645243031559548,0.8617886178861789,0.9102668623294744,9717
noise_augmented_rr,42,bw_18db,bw,18.0,seen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,42,bw_18db,bw,18.0,seen_snr,V,0.30730478589420657,0.7493857493857494,0.43586995355484104,814
noise_augmented_rr,42,bw_18db,bw,18.0,seen_snr,F,0.02197802197802198,0.06451612903225806,0.03278688524590164,31
noise_augmented_rr,123,bw_18db,bw,18.0,seen_snr,N,0.9706338784767816,0.8367808994545641,0.8987509671714381,9717
noise_augmented_rr,123,bw_18db,bw,18.0,seen_snr,S,0.047619047619047616,0.005025125628140704,0.00909090909090909,199
noise_augmented_rr,123,bw_18db,bw,18.0,seen_snr,V,0.28388200085506626,0.8157248157248157,0.421186171899778,814
noise_augmented_rr,123,bw_18db,bw,18.0,seen_snr,F,0.16666666666666666,0.12903225806451613,0.14545454545454545,31
noise_augmented_rr,2026,bw_18db,bw,18.0,seen_snr,N,0.9582189691979262,0.9700524853349799,0.9640994169990794,9717
noise_augmented_rr,2026,bw_18db,bw,18.0,seen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,bw_18db,bw,18.0,seen_snr,V,0.5627705627705628,0.6388206388206388,0.5983889528193326,814
noise_augmented_rr,2026,bw_18db,bw,18.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,42,bw_12db,bw,12.0,unseen_snr,N,0.9670107481110993,0.9351651744365544,0.9508213874646856,9717
clean_rr,42,bw_12db,bw,12.0,unseen_snr,S,0.07627118644067797,0.04522613065326633,0.056782334384858045,199
clean_rr,42,bw_12db,bw,12.0,unseen_snr,V,0.49291075896580483,0.726044226044226,0.587183308494784,814
clean_rr,42,bw_12db,bw,12.0,unseen_snr,F,0.0,0.0,0.0,31
clean_rr,123,bw_12db,bw,12.0,unseen_snr,N,0.9477648924571316,0.9840485746629618,0.9655659901040089,9717
clean_rr,123,bw_12db,bw,12.0,unseen_snr,S,0.04929577464788732,0.035175879396984924,0.04105571847507331,199
clean_rr,123,bw_12db,bw,12.0,unseen_snr,V,0.6837121212121212,0.44348894348894347,0.5380029806259314,814
clean_rr,123,bw_12db,bw,12.0,unseen_snr,F,0.0,0.0,0.0,31
