condition,noise_type,target_snr_db,exposure,class_name,clean_f1_mean,clean_f1_std,noise_aug_f1_mean,noise_aug_f1_std,paired_difference_mean,paired_difference_std,noise_aug_better_seeds,total_seeds
clean,clean,,clean,N,0.9402618932223308,0.03029067922115814,0.924289705442364,0.03489871606080284,-0.015972187779966746,0.06506628088030607,1,3
clean,clean,,clean,S,0.03493027633246138,0.02269412199965142,0.003003003003003003,0.005201353776483115,-0.031927273329458376,0.021703861888713722,0,3
clean,clean,,clean,V,0.5379905840783172,0.05936544173562744,0.4856873569257705,0.09716848994189267,-0.052303227152546795,0.14923875060514427,1,3
clean,clean,,clean,F,0.025730231209683263,0.033412274689093635,0.04711632453567938,0.05604268488997181,0.021386093325996114,0.08632620174081063,2,3
bw_18db,bw,18.0,seen_snr,N,0.9408611862771651,0.030350458377900628,0.9243724154999974,0.03488308969119242,-0.016488770777167778,0.06513966074191273,1,3
bw_18db,bw,18.0,seen_snr,S,0.03247912595199444,0.020070560810531247,0.0030303030303030303,0.00524863881081478,-0.029448822921691414,0.01846972257313924,0,3
bw_18db,bw,18.0,seen_snr,V,0.5403039910745074,0.059624823614481376,0.48514835942465045,0.09834366962447645,-0.05515563164985693,0.15205308170701679,1,3
bw_18db,bw,18.0,seen_snr,F,0.026041666666666668,0.03252603124165832,0.05941381023348236,0.07629548511588216,0.0333721435668157,0.10492069671863948,2,3
bw_12db,bw,12.0,unseen_snr,N,0.9414705757732209,0.029888766336143523,0.9246096821674289,0.034466466419268885,-0.01686089360579209,0.0643092550813014,1,3
bw_12db,bw,12.0,unseen_snr,S,0.0357425747404779,0.024138936376105917,0.0030165912518853697,0.005224889313933266,-0.032725983488592535,0.02370453477677158,0,3
bw_12db,bw,12.0,unseen_snr,V,0.5353890375870267,0.053149472913390866,0.4824552220961504,0.09565613642601625,-0.052933815490876335,0.14355301696825343,1,3
bw_12db,bw,12.0,unseen_snr,F,0.022988505747126436,0.03981725994411212,0.06077872744539411,0.07757104598921989,0.03779022169826767,0.10860164704489102,2,3
bw_6db,bw,6.0,seen_snr,N,0.9408779817913824,0.028161664306522442,0.9247456193306425,0.033179875210328766,-0.016132362460739975,0.06134136438103195,1,3
