configuration,seed,condition,noise_type,target_snr_db,exposure,macro_f1,balanced_accuracy
clean_rr,42,clean,clean,,clean,0.40300086957287573,0.4375287152802742
clean_rr,123,clean,clean,,clean,0.3864998711338956,0.36588417423028113
clean_rr,2026,clean,clean,,clean,0.3646839979253232,0.46292071617024594
noise_augmented_rr,42,clean,clean,,clean,0.34555893486190015,0.4205354349278201
noise_augmented_rr,123,clean,clean,,clean,0.35918878163694734,0.4381147646495577
noise_augmented_rr,2026,clean,clean,,clean,0.3903245759312651,0.4021410967227577
clean_rr,42,bw_18db,bw,18.0,seen_snr,0.4024323150536346,0.4358415039115897
clean_rr,123,bw_18db,bw,18.0,seen_snr,0.38767450295440997,0.3667540939408924
clean_rr,2026,bw_18db,bw,18.0,seen_snr,0.3646576594697057,0.46302362859177526
noise_augmented_rr,42,bw_18db,bw,18.0,seen_snr,0.3447309252825543,0.4189226240760466
noise_augmented_rr,123,bw_18db,bw,18.0,seen_snr,0.36862064840416764,0.4466407747180091
noise_augmented_rr,2026,bw_18db,bw,18.0,seen_snr,0.390622092454603,0.40221828103890467
clean_rr,42,bw_12db,bw,12.0,unseen_snr,0.3986967575860819,0.4266088827835117
clean_rr,123,bw_12db,bw,12.0,unseen_snr,0.38615617230125343,0.36567834938722255
clean_rr,2026,bw_12db,bw,12.0,unseen_snr,0.36684009049855365,0.46340955017251
noise_augmented_rr,42,bw_12db,bw,12.0,unseen_snr,0.3449427859474277,0.4177729191211548
noise_augmented_rr,123,bw_12db,bw,12.0,unseen_snr,0.3691014627304659,0.44536242923620584
noise_augmented_rr,2026,bw_12db,bw,12.0,unseen_snr,0.3891009185427505,0.3998127347926669
clean_rr,42,bw_6db,bw,6.0,seen_snr,0.38957963682309515,0.4136593355152576
clean_rr,123,bw_6db,bw,6.0,seen_snr,0.3757573807141237,0.35497924800682806
clean_rr,2026,bw_6db,bw,6.0,seen_snr,0.3606537218830568,0.4493360043002708
noise_augmented_rr,42,bw_6db,bw,6.0,seen_snr,0.3503713191568634,0.42172422551795913
noise_augmented_rr,123,bw_6db,bw,6.0,seen_snr,0.35742678429460895,0.4334081965360739
noise_augmented_rr,2026,bw_6db,bw,6.0,seen_snr,0.38254869561799354,0.3910845856662467
clean_rr,42,bw_0db,bw,0.0,unseen_snr,0.36371156789122844,0.3686343996752942
clean_rr,123,bw_0db,bw,0.0,unseen_snr,0.3655632879340947,0.3374099472264697
clean_rr,2026,bw_0db,bw,0.0,unseen_snr,0.3630841736818099,0.4343806082575921
noise_augmented_rr,42,bw_0db,bw,0.0,unseen_snr,0.3511271659815679,0.4062871532744751
noise_augmented_rr,123,bw_0db,bw,0.0,unseen_snr,0.34610349317918193,0.4127821067926739
noise_augmented_rr,2026,bw_0db,bw,0.0,unseen_snr,0.3707017421335642,0.3720460405394027
clean_rr,42,bw_-6db,bw,-6.0,seen_snr,0.336140736851977,0.3228368090566936
clean_rr,123,bw_-6db,bw,-6.0,seen_snr,0.34014986482003173,0.3190375544405226
clean_rr,2026,bw_-6db,bw,-6.0,seen_snr,0.34075514131927376,0.385894646798192
noise_augmented_rr,42,bw_-6db,bw,-6.0,seen_snr,0.34968741558845595,0.3769040670579082
noise_augmented_rr,123,bw_-6db,bw,-6.0,seen_snr,0.3306462768435983,0.3833350673617888
noise_augmented_rr,2026,bw_-6db,bw,-6.0,seen_snr,0.355076089259037,0.3446701037392609
clean_rr,42,ma_18db,ma,18.0,seen_snr,0.4060983106737562,0.4222980782553074
clean_rr,123,ma_18db,ma,18.0,seen_snr,0.37722340449637465,0.35503231617505515
