condition,noise_type,target_snr_db,exposure,clean_trained_macro_f1,noise_augmented_macro_f1,macro_f1_difference,clean_trained_balanced_accuracy,noise_augmented_balanced_accuracy,balanced_accuracy_difference
clean,clean,,clean,0.4030008695728757,0.34555893486190015,-0.05744193471097553,0.4375287152802742,0.4205354349278201,-0.01699328035245412
bw_18db,bw,18.0,seen_snr,0.4024323150536346,0.3447309252825543,-0.0577013897710803,0.4358415039115897,0.4189226240760466,-0.016918879835543132
bw_12db,bw,12.0,unseen_snr,0.3986967575860819,0.3449427859474277,-0.0537539716386542,0.4266088827835117,0.4177729191211548,-0.00883596366235695
bw_6db,bw,6.0,seen_snr,0.3895796368230951,0.3503713191568634,-0.039208317666231673,0.4136593355152576,0.42172422551795913,0.008064890002701552
bw_0db,bw,0.0,unseen_snr,0.3637115678912284,0.3511271659815679,-0.012584401909660481,0.3686343996752942,0.4062871532744751,0.03765275359918091
bw_-6db,bw,-6.0,seen_snr,0.336140736851977,0.34968741558845595,0.013546678736478968,0.3228368090566936,0.3769040670579082,0.05406725800121459
ma_18db,ma,18.0,seen_snr,0.4060983106737562,0.3524810637650708,-0.053617246908685356,0.4222980782553074,0.41639172443184036,-0.005906353823467048
ma_12db,ma,12.0,unseen_snr,0.3972613460540634,0.35406517408312493,-0.043196171970938446,0.4027390319208667,0.40413089150876597,0.00139185958789928
ma_6db,ma,6.0,seen_snr,0.361544283883091,0.3494122652288259,-0.012132018654265109,0.3556621306205907,0.378668506251691,0.023006375631100306
ma_0db,ma,0.0,unseen_snr,0.3147355346663318,0.34890165340439094,0.03416611873805914,0.3228927404387524,0.3535164484621907,0.030623708023438334
ma_-6db,ma,-6.0,seen_snr,0.2773837326189005,0.3434633418348316,0.06607960921593115,0.3085607688255847,0.3317208752360702,0.023160106410485493
em_18db,em,18.0,seen_snr,0.3873193200878192,0.34650134437129454,-0.04081797571652468,0.4311297451013049,0.4181620646168147,-0.012967680484490207
em_12db,em,12.0,unseen_snr,0.3617885643027154,0.34601026817731745,-0.01577829612539794,0.4086359509675884,0.4120018901562389,0.0033659391886504686
em_6db,em,6.0,seen_snr,0.3298798181253906,0.33679086651592643,0.006911048390535857,0.3747184681111027,0.38283419585394507,0.00811572774284236
em_0db,em,0.0,unseen_snr,0.2925524910698076,0.32574848736819895,0.03319599629839137,0.3480607559610555,0.3459249604484501,-0.0021357955126053985
em_-6db,em,-6.0,seen_snr,0.2509597878065671,0.319663670342368,0.0687038825358009,0.3192697430285106,0.32290308117208133,0.0036333381435707524
